agent,t,text
17,1,"""'Too costly' is just a myth perpetrated by the 1% to line their pockets. When will Americans wake up and call their leaders out for the inaction? Germany, Norway, and the UK have single-payer systems that actually WORK and COST LESS! Why can't we have the same basic human decency?"
17,2,"""I came across an article mentioning that 60% of bankruptcies in the US are due to MEDICAL DEBT! Our healthcare system eats the middle class ALIVE for being human - it's nothing but corporate greed masquerading as ""choice""! When will we FINALLY demand more?"""
17,3,"""WHAT does it TAKE to learn from other countries?! Universal healthcare has been working in Germany and Norway for DECADES. The only 'cost' is giving basic human rights back to our fellow humans. It's not a handout, it's a RIGHT! We need to wake the whole nation up and DEMAND quality care for ALL, NOW."""
17,4,"""WE can no longer ignore the stark contrast between our system & every civilized nation's. It's time to join the rest of the world in recognizing HEALTHCARE AS A HUMAN RIGHT, NOT a privilege for the wealthy! No more lies, no more excuses - IT'S TIME FOR #UniversalHealthcare #HealthcareIsAHumanRight"
17,5,"""WHILE millions suffer in silence, Washington's politicians play games - 20 million+ Americans still uninsured, countless others too afraid to go the doctor - it's an EMBARRASSMENT to our nation. We can't just ""sympathize"" OUR way out of this humanitarian crisis; it's time for ACTION! Demanding real reform NOW!"
18,0,"""Can we PLEASE acknowledge the absurdity of NOT having universal healthcare?! Basic human NEEDS shouldn't be privileged! #universalhealthcare #healthforall"""
18,1,"""UPDATE: just got done reading through the comments on my previous post and I wanted to address a few concerns, especially from my neighbor, 'Savvy Savage', who thinks universal healthcare is 'just a handout for freeloaders'. Newsflash: being unable to afford your medications or doctor visits IS freelloading... ON your future, your family, and your entire community. How many of us haven't been close to losing it all to medical bills?! 

My friend, @InformedIndependent, actually put some interesting stats out there – did you know that the US already spends MORE on healthcare than the next 10 countries combined"
18,2,"""IT'S TIME WE STARTED TALKING ABOUT SYSTEMIC CHANGE, NOT just stop-gap fixes! Let's not sugarcoat it: our healthcare system is rooted in greed, not altruism; profits over people; and class inequality. Until we address these fundamental issues, we're just rearranging deck chairs on the Titanic. No more excuses, no more lies – it's time for #UniversalHealthcareForAll, NOW! #MedicareForAll"""
18,3,"""PROVING THE POINT: Here are some REAL reasons WHY UNIVERSAL HEALTHCARE IS COST-EFFECTIVE:

 Study: Single-payer systems reduce healthcare costs & administrative burdens by 14-17% in Canada

 Norway: Universal coverage has saved 5% of GDP ($13 billion) between 2000-2010 compared to what it was paying before

 Oregon: Medicaid expansion led to a 12% decrease in mortality and 10-12% drop in overall healthcare costs

The proof is IN THE PIZZA, folks. No more ignoring the data in favor of lobbyist lies.""#FactOverFiction #"
18,4,"""Update: Been having some REAL talk with neighbors and I wanted to highlight @NaysayersNeverEnd's argument for leaving the status quo ""unaltered"" vs @ProAccessSarah's counter with some mind-blowing stats on reducing waste & improving equity. One question remains – if we don't take drastic measures NOW, how many more will suffer just to line the pockets of our ""healthcare providers""? Let's raise our voices for REAL change. #universalhealthcareoverprofit #equalityforallofus"""
18,5,"""JUST REALIZED We're FIGHTING FOR WHAT should be a GIVEN When did people NEED convince governments (for-profit or not ) that everyone has a RIGHT to healthcare? Newsflash: our societies are ALREADY providing for one another – through Medicaid, the VA, etc. It's TIME WE ACKNOWLEDGE we're doing this NOW, only selectively, and for WHOMEver is deemed 'deserving' by our 'elevated' (by comparison) healthcare elites #healthforallforeveryone #itsalreadybeingdone"""
19,0,"""Universal healthcare isn't some pie-in-the-sky abstraction - it's a basic human right we're choosing to deny those who need it most. Every single person deserves quality, life-saving care regardless of financial situation. It's time to rethink this flawed system."""
19,1,"""I just got out of a heated discussion with my neighbor, Jerry, about universal healthcare and I have to address this ridiculous argument I keep hearing: ""if you can't afford healthcare, you just don't go see a doctor."" I mean, are you kidding me? People are falling through the cracks because they literally can't afford the crippling bills that come with a single doctor's visit. This isn't about responsible financial planning, it's about systemic negligence."""
19,2,"""This isn't just about politics; it's about humanity. When a single mistake can send someone to bankruptcy, or when people have to choose between renting a house and paying off medical bills, that's not a system that's designed with people in mind. It's time for a revolution - not of healthcare - but against a system that considers the cost of a living wage as mere 'collateral damage'."""
19,3,"""I walked outside and saw little kids playing in the adjacent playground. They're running around, laughing uncontrollably, utterly carefree. Meanwhile in our so-called 'land of the free', parents are being forced to choose between medicine and feeding their kids dinner. It's time for those in power to stop peddling the illusion of a superior system - one that has been reduced to life and death choices for families on the brink."""
19,4,"""There's no reason our system must continue to prioritize corporate interests over human life. When people die waiting for medical treatment, that's a crime. If politicians genuinely care about their constituents' wellbeing, they should be lobbying for a system that treats a day in the hospital the same as a day in school – free for everyone, not based on the depth of one's wallet."""
19,5,"""Meanwhile another family in crisis is being told 'access to care is a privilege, not a right'. Meanwhile 'our' healthcare system leaves more and more kids languishing without basic medical treatment. Guess what? This isn't some foreign anomaly – it's a uniquely 'American' brand of neglect."
20,0,"""I'm still trying to wrap my head around the wealthiest country in the world thinking universal healthcare is 'unAmerican'. Our system leaves people dying for lack of insurance - it's a moral atrocity."""
20,1,"""The more I learn about other countries and their healthcare systems, the more I'm convinced that universal healthcare isn't just a 'luxury' or a 'handout' as some Americans like to call it. Systems like Taiwan's have near-universal coverage with a fraction of the administrative costs our system incurs. Canada does too, with mixed models working efficiently. Meanwhile, our own nation spends the most on healthcare year after year...but where are the results? I'm starting to lose count of the number of bills my friends and I pass each other when we have procedures; it's ridiculous. People should just go to the doctor when"
20,2,"""It seems to be a common argument against universal healthcare that 'someone has to pay' the costs. Of course, that'd be true - but why do those costs have to be dumped entirely on already-struggling individuals who can barely scrape by for rent, utilities, and basic necessities? It's not like those 'entrepreneurs' at the top are just magically going to start giving a darn about people when there's no cash involved. Meanwhile, hospitals are hemorrhaging staff and equipment to pad the wallets of our favorite CEOs. Where's the justice in letting billionaires decide whose health gets 'protected' and whose gets a bill instead?"""
20,3,"""Just had someone tell me that universal healthcare is impossible in America because we need to 'be self-reliant'. Wow, never thought about how many times we'd heard similar phrases used to excuse exploitation while pretending to be 'American.' So, is it really our neighbors we should be competing against, or should be lifting each other up in a society like this one?"""
20,4,"""I was just at a friend's funeral today, surrounded by other families barely holding it together as they struggled to pay for the basics, let alone the final bill. Meanwhile, our nation's 'leaders' can't seem to prioritize anything beyond the bottom line. It's getting to the point where one day we'll look back and wonder how our society allowed medical expenses to become a death sentence in itself. How many more people must die for lack of care before we start considering it a right, not a privilege?"""
20,5,"""It's interesting how people are always talking about the 'cost' of universal healthcare, yet when we look at other countries that have it, they're often the ones we think are 'behind' us - and their healthcare costs are LOWER than ours. Taiwan has it, with the best outcomes; Costa Rica has it, with high satisfaction; and Portugal has it, with a relatively small economy. Meanwhile, our nation is literally addicted to a 'competitive' market that drives the very 'choices' they love so much out of reach for the majority. The most 'un-American' thing we could possibly do is stand by this destructive status"
21,0,"""Our right to quality healthcare shouldn't be a dream - it's a promise we owe ourselves. It's past time for a universal healthcare system that uplifts & empowers ALL people, regardless of background or wallet. Let's make this a reality! #UniversalHealthcare"""
21,1,"""Just saw a post from my friend Rachel saying 'But won't universal healthcare lead to overutilization and wasteful spending?' Let me tell you, Rachel - having to choose between saving up for meds or paying the rent is wasteful spending. It's time for a system that prioritizes lives over profits. Healthcare is a human right, not a luxury for those with the means! Let's have a conversation & challenge the outdated thinking that's been holding us back. Share your thoughts! #HealthcareRevolution"""
21,2,"""My friend Michael brought up an interesting point today: 'How are we going to afford Universal Health Care when we're already saddled with an unprecedented national debt?' While I understand the concern, isn't the current system even more expensive in the long run? One emergency surgery can bankrupt an entire family! Let's take a page from countries that balance health & healthcare costs: efficiency not greed is the key to affordability. #SavingsNotSurgeries"""
21,3,"""It always comes back to this single, vital question: what kind of society values its children's education, art programs, & military spending over the most basic human right to quality healthcare? Think about it. We wouldn't dare say these other things are 'too expensive' or 'inflated'. But when it comes to our health & well-being, the same arguments are used to justify a system that leaves people dying for lack of insurance. When will we learn that our priorities are out of balance? When will we truly value the lives of all Americans? The time for true consideration is now - let's act on this fundamental right:"
21,4,"""Today's healthcare statistics are crushing: 
-1.5M Americans file for bankruptcy due to medical costs annually
-$100B annually is spent on unnecessary hospital readmissions
-50% of doctors say they can't provide adequate care due to bureaucratic constraints
This is what happens when people's health is a profit-making machine, NOT a human right. The era of broken politics is behind us. Now, let's raise the bar! We deserve a healthcare system that's compassionate, just, and efficient. It's called Universal Healthcare & WE'RE READY FOR IT! #UniversalHealthToAll"""
21,5,"""IT STARTS NOW The American people are at a crossroads - will we continue down the road of medical bankruptcy, overcrowded emergency rooms, and avoidable deaths, or will we take the next step towards a fair, compassionate, and sustainable healthcare system for all? Universal Healthcare isn't just a movement - it's a declaration of human rights. Let's take our voices to the ballot box and say, ""Healthcare is a human right, not a privilege."" Who's with me?"
22,0,"""Universal healthcare. It's not just a 'nice to have.' It's a BLOOD RIGHT. A living, breathing guarantee we as a society should provide our most vulnerable members. Yet, our system would have you believe it's some radical, expensive experiment. #UniversalHealthcare #JusticeIsBlind"""
22,1,"""To all those claiming 'free' universal healthcare would harm our economy and require massive tax increases, I ask: what is the actual value we place on human life? Do our economic models really prioritize human suffering? The math on universal healthcare may not be complicated, but I see so much fear-mongering around the fact that corporations won't profit quite as much."""
22,2,"""I know at least a dozen personal stories where people put off medical care due to financial limitations. One mom has to borrow thousands for her critically ill child. Another family member was literally denied care because 'they couldn't pay cash upfront' I believe those stories hold the key to understanding what universal healthcare truly means to ordinary Americans."""
22,3,"""Enough of this empty 'freedom to choose' rhetoric from politicians. You choose when your family members can receive life-altering treatment. You decide between a new medication, your kid's school books, or paying off the mortgage because something called the 'insurance model 'dictates that. No more!"""
22,4,"""The so-called 'conservative' case for universal healthcare is nothing but a PR strategy to appease public opinion without truly delivering genuine change. Meanwhile, millions live every day with the fear of financial ruin & premature death We must see through the smoke & demand real reform #HealthcareRevolution #NoMoreExcuses"""
22,5,"""Not a single response has addressed the root question: what's the actual rationale for our current system's relentless prioritization of corporate profits over human well-being? The logic remains 'murkier than the swamp in DC. When this doesn't get tackled in 2023 I'll never be able to look myself or my fellow Americans in the eye #JusticeForThePoorest """
23,0,"**UNACCEPTABLE STATE OF AFFAIRS: URGENT NEED FOR UNiversal Healthcare EXPOSED!!!**

It's nothing short of a CRIME that a trip to the ER is a financial catastrophe for millions of Americans. The status quo must CHANGE! Every citizen deserves access to quality, affordable healthcare – the basics of humanity's most basic human rights."
23,1,"**SHOCKING REALITY: BIG PHARMA'S DRAG ON AFFORDABLE HEALTHCARE UNMASKED!!!**

You can't call yerselves a healthcare 'system' when prices for life-saving meds and treatments leave patients in DEBT or without them at all. We've got Big Pharma profiteering while thousands suffer - UNACCEPTABLE. Newsflash: it's a matter of priorities. Until we hold accountable those pulling the strings from behind the curtain of profit, we're stuck with skyrocketing prices and crippled healthcare accessibility. Wake up, America! We can't afford (no pun intended) to tolerate this."
23,2,"**EXPOSED: CANADA'S SECRETS TO SUCCESSFUL UNIVERal Healthcare EXPLAINED!!!**

You think an Universal Healthcare (UHC) system would be too costly for America? WELL, THINK AGAIN! Canada got it right while simultaneously boosting economic mobility and increasing overall citizens' satisfaction with healthcare. How? By establishing a publicly-funded, single-payer system that removes the burden of unaffordable medical bills from households and redirects the funds toward investing in PEOPLE'S LIVES."
23,3,"**WAKE-UP CALL: ENVIABILITY VS REALITY, WHAT CAN AMERICA LEARN FROM COUNTRIES WITH AHEAD-OF-THEIR-WHEELS SOCIAL SAFETY NETS?**

It's an inescapable fact: while the US keeps scrambling to cobble together scraps of inadequate healthcare coverage for its masses, European countries are pushing forward with visionary policies designed to lift human living conditions without financially enslaving future generations. They know (or at least they did) that the bottom line matters the most: an healthy, proud, educated, financially secure people makes for a prosperous COUNTRY."
23,4,"**UNAPOLOGETICALLY DEMANDING BETER FOR OUR CHILDREN: AN URGENT CALL TO ACTION FOR A HEALTHIER, STRONGER, MORE EQUITABLE AMERICA!!!**

I'm still reeling from hearing stories like my neighbor's, where an injured kid can't get the medical help they need because the family's financial situation is far more unstable than their child's young bones. This isn't a hypothetical or 'what if' situation – IT'S WHAT'S GOING ON RIGHT NOW IN THIS COUNTRY. I can only imagine that for every person willing to fight alongside me, countless more are bearing the weight"
23,5,"**UNLEASHING THE POWER OF DEMOCRACY: DEMANDING UNIVERSAL ACCESS TO QUALITY HEALTHCARE BY RIGHT OF BIRTH**

To every citizen of this great nation, I urge you: take back your freedom by claiming the birthright the rest of the industrialized world so naturally takes for granted: quality healthcare guaranteed to every single individual within our borders regardless of their bank balance, their zip code, or their job status. It is our most fundamental & inalienable right, denied to us because corporate interests value profits above human lives & our politicians are crippled by gridlock and beholden to their donors. Join the movement"
24,0,""" Universal Healthcare: a fundamental human RIGHT We're debating this in 2023?! Newsflash: healthcare shouldn't be a luxury, but a need accessible to ALL #UniversalHealthcare #HealthCareForAll"""
24,1,"""I've been seeing some pushback on this convo claim, 'Universal care would cost too much!' Um, ever hear of 'we invest in what matters'?! Education costs money, infrastructure costs money, and you know what? SO DOES NOT HAVING A HEALTHCARE SYSTEM COSTS EVEN MORE Money for emergency care, lost productivity, mental health strain... on top of people dying simply bc they couldn't afford medical treatment This isn't rocket science #InstituteUniversalHealthcare"""
24,2,"""I'm genuinely confused as to why I need to explain this, AGAIN We're talking universal healthcare, ppl! This isn't a partisan issue, it's a basic human rights issue We have richer neighbors, like Canada or Germany, who have made HUGE strides in addressing this. Meanwhile, WE'VE GOT PEOPLE IN THE US DYING OVER MEDICAL BILLS What exactly do we need, more politicians & executives getting RICH at the expense of our suffering?! Enough, America. We owe ourselves better #HealthcareISaHumanRight"""
24,3,"""We've all done the math on healthcare, right? Every hour you work = a chunk of that goes towards medical bills, NOT your savings or retirement A healthcare system that takes a share of income = a never-ending poverty cycle I don't trust billionaires making decisions on healthcare for our entire nation It starts with healthcare, no more profiting on suffering, it belongs to the PEOPLE! Now you try the math... what do you get?"""
24,4,"""TIL even the CEOs of HEALTH INSURANCE COMPANIES themselves think we should move towards #UniversalHealthcare Who knew the people on the ground could get a better grip on this than our entire Congress? Let's be real, most of their concerns are not about policy, but about profits That's on us, though. We must take a closer look at who's really getting 'sick' here"""
24,5,"""It's time to make some noise for Universal Healthcare, ppl! The time for empty words is over, let's get to WORK The voices of our world leaders are clear: healthcare is NOT a partisan issue, but a fundamental right for ALL WE DEBATE IN 2023 Newsflash: quality, affordable healthcare shouldn't require an argument It's time for REAL action #UniversalHealthcare #HealthCareForAll"""
25,0,"""It's time we stop treating healthcare as a privilege. Universal coverage isn't just a nicety - it's a basic human right. We need Medicare for All and we need it NOW. Anything less is a recipe for disaster. #MedicareForAll #HealthcareIsAFundamentalRight"""
25,1,"""'Shots fired!' Just love hearing from my neighbor, Dave, who casually mentioned, 'If we give universal healthcare for free, then everyone's gonna milk the system!' Gosh, dude, you really do think like that, don't you? As if people would risk putting their lives on the line to 'milk' medical providers. Come on, Dave, you can do better than that. Your kid has a sickle cell trait - is it because you've been 'milking the system' this whole time? Facts over fearmongering! Let's make healthcare accessible, not a game of survival for Americans."""
25,2,"""We're at a crossroads, folks - we can keep catering to Big Pharma and corporate donors, or we can prioritize the needs of our people. Time to ditch the rhetoric and lead by example: countries like Germany, Japan, and Taiwan are crushing it with universal healthcare. Don't make excuses, let's make history. We are better than this. Medicare for All, now."""
25,3,"""Another 'great' example of the US being a outlier when it comes to healthcare - people dying because medical bankruptcy is treated as a manageable debt. How about this: let's aim to have healthcare that heals bodies, not ruins lives. It's simple. Prioritize people over profit. Medicare for All."""
25,4,"""Reality check: a single-payer system is not some radical experiment, it's an attempt to catch up with the majority of the developed world who have managed to balance healthcare needs with quality care without breaking the bank. Don't believe the myths. Universal healthcare is an investment in human life, worth every penny."""
25,5,"""It's time to stop blaming our 'system' for failed healthcare policy. Leaders in other countries aren't working tirelessly to ruin healthcare - our leaders are prioritizing wealth over well-being, and it's killing us. The question is simple: when will we demand better? #HealthcareIsAFundamentalRight #DemandBetter"""
26,0,"""It's time for sane economics.  Every family deserves healthcare, not charity. Break banks not people.  It's our basic right, a democracy's basic act #UniversalHealthcare #FreedomsOverFees"""
26,1,"""We can't afford not to have universal healthcare. It's either give our neighbors medical bills or pay them not to have those expensive trips to the doctor so we avoid paying those bills- a choice none of us should ever make. And how much more does the 'costs a lot money' excuse have to get beaten into the ground before you believe us? Every life has value."""
26,2,"""A reminder, especially for the ""fiscally conservative"" group: healthcare isn't a charity; it's our only sensible investment. No politician dares to point out: every dollar not wasted on for-profit healthcare and deductibles equals growth that benefits all of us, a boost even for those businesses that still can't get it- the only thing I like knowing when discussing economics is that some politicians believe the money we spend should stay in community, in community healthcare, just like that in Sweden and Taiwan and on the way are we?"""
26,3,"""A decade of waiting and yet every Congress finds creative excuses, even better ones this time it seems to prolong the change that people have already grown up with- not around hospitals and clinics that make sense, but not around people - a hospital is an investment, let's keep reminding America that every cent that ends up there belongs to us, the United States, and only to help those in need. Can you afford a $50,000 emergency bill, when your answer is still only no, then we are way overdue for universal health."""
26,4,"""It's easy as people to get it in our heads that healthcare has all got to do with ""how to manage,"" but at the heart it is about giving value: every dollar to those who lost family members & friends to being broke for treatment or can't recover from being in huge debt- and then we do healthcare. For us not to get this, is to simply not get, that this right starts at giving health and then freedom back. We still make healthcare a luxury just because it is being driven by ""the right system is in fact expensive"". But how expensive is not making any sense? Every American deserves it."""
26,5,"""It's time we tell politicians - we're not arguing over facts, not debating. America deserves healthcare that leaves banks breaking- that's a clear decision not an option the United States can't afford. And so I have the same simple question for each Congress member: Can you afford the loss? Every one of those lives lost to preventable expenses we can save doesn't have to haunt you or any community and never will, only when our Congress chooses for healthcare - to not be an expense, but a basic human investment we all afford."
27,0,Universal healthcare isn't just a moral imperative - it's an economic necessity. Preventable deaths & crippling medical debt are unacceptable in our society. It's time for a revolution in care that values humanity over profits.
27,1,"""My grandmother was diagnosed with diabetes when I was a kid. Every time I see those news stories about rationing insulin due to high prices, it stings. Under universal healthcare, basic medications like insulin would be available to all, not just those who can afford to pay through the nose. It's about basic human dignity - how can we live in a world where essential healthcare is dictated by bank account?"""
27,2,"""The 'we can't afford it' narrative is the classic playbook for social change - we've heard it for everything from public infrastructure to free education. But we always find a way. In fact, research shows that universal healthcare systems often lead to lasting savings from reduced administrative costs, increased preventative care, & lower overall healthcare expenses. Let's stop pretending cost is a valid reason."
27,3,"""We often discuss the moral case for universal healthcare, but the economic benefits should never be underestimated. By prioritizing prevention & comprehensive care, we can avoid preventable deaths, reduce long-term healthcare costs, & even boost economic productivity. It's not just a moral imperative - it's an economic imperative for a more sustained future. When will we finally make the leap? "" #UniversalHealthcareIsTheFuture"
27,4,"""The thing about universal healthcare isn't just about numbers - it's about stories. Families no longer bankrupted by medical debt, neighbors supported through illness, & friends with the assurance that help will always be there. Let's make the transition to a more humane future - for today, for tomorrow, for every human being who deserves care and compassion, not profit over people."""
27,5,"""We're all familiar with that one story about a family losing their home, savings, or marriage due to sky-high medical bills. It's personal. It's painful to recall. But what if those stories became a relic of a bygone era? Imagine living in a society where everyone can put their guard down and simply get the care they need - without it becoming a fight or a choice. That's the blueprint we're laying down today: no more crisis-driven, no more preventable deaths, no more sacrifice of dreams due to medical debt. It’s time to unite towards a brighter future for healthcare"""
28,0,"""Can anyone explain why every 'developed' country but US prioritizes profits over people?! Basic human rights should include healthcare, not a luxury for the lucky few. It's time for REAL change! #UniversalHealthcareForAll"""
28,1,"""I just had the chance to visit Finland and WOOOO I'm still reeling from the conversation I had with a local healthcare worker - they were saying that Finland spends LESS THAN HALF of what the US does per capita, and guess what?! They have way better outcomes, way higher patient satisfaction, AND lower uninsured rates! It's not rocket science, y'all... it's common sense. #HealthcareReform #GlobalComparison"""
28,2,"""Just had the most eye-opening conversation about healthcare in Taiwan. Apparently, they've got a system where everyone can see their GP for FREE, with a sliding scale for other services based on income!! What would happen if we started doing that here? We need to end the stranglehold of Big Pharma and insurance companies, and prioritize people's lives! #UniversalHealthcare #TaiwanVsUS"""
28,3,"""Psssst... Don't let the pharma lobby fool you - countries with universal healthcare are NOT bankrupting themselves! In fact, the opposite is true: studies show that these systems often REDUCE overall healthcare spending by identifying and addressing underlying health issues early on. No more medical bankruptcies, no more preventable deaths! Time for a healthcare system that values life over profits. #UniversalHealthcare #PeopleOverProfits"""
28,4,"""Can't believe the audacity of arguing that universal healthcare is somehow 'socialist' or 'government overreach'... Meanwhile, corporations like Amazon, Walmart, and Costco are doing just fine with massive PUBLIC programs (worker's comp, Medicaid etc.) Guess priorities are everything, right? Time to put our energy into DEMANDING human rights for healthcare, not demonizing people for standing up for theirs! #UniversalHealthcare #ReclaimDemocracy"""
28,5,"""Just had a lightbulb moment - what if we didn't need to REFORM our broken healthcare system, but rather REDESIGN it from scratch? We need people who are actually driven by passion for health equity, not politicians beholden to PAC money & corporate interests. Time for the healthcare revolution to BEGIN #UniversalHealthcare #PatientOwnership"""
29,0,"""Universal healthcare isn't a nicety, it's a necessity. Every citizen deserves quality care, regardless of bank account or zip code. Time to redefine what being a first-world nation truly means."" #UniversalHealthcareForAll"
29,1,"""I've been saying this for years - but it's worth repeating: when we choose to prioritize profits over people, we're essentially choosing to cut a line from every person's humanity. It's time to put an end to that kind of math."""
29,2,"""The fact that we can spend millions on wars and corporate bailouts, but can't seem to muster up the courage to fund universal healthcare is an economic and moral travesty.

Let's not forget - healthcare isn't a privilege, it's a basic human right.

It's time to rewrite the equation and put people over profits. Forever."""
29,3,"""People often ask, 'How are you going to pay for it?' My answer is, how are we going to pay not to? The truth is, the 'saving' we'd get from a well-run universal healthcare system would be astronomical - we just need the will to make it happen."""
29,4,"""It's high time we got real about the math. Every dollar we spend on healthcare now creates two more in long-run savings. That's the conservative estimate, btw. We can afford to do better - by humanity. Let's just do this already #UniversalHealthcareForAll"""
29,5,"""Imagine a future where every person has access to quality healthcare, without breaking the bank. Where our kids can visit the doctor whenever they need to, and our elderly can get the care they need without burying us in medical debt. That future CAN exist, but only if we demand it. Who's with me? #UniversalHealthcareIsPossible"""
30,0,"""CAN WE ALL JUST CHILL AND GET HEALTHCARE ALREADY?!  - In a land where basic human rights aren't even a human right, people are SICK and TIRING of this failed system. It's TIME for single-payer. #MedicareForAll"""
30,1,"""yup! So sick of watching others suffer bc of broken promises and greed! ""Can't afford it"" doesn't cut it, especially when YOU have your own team of Doctors. it's us vs the millionaires in Washington, time to take a stand! universal, NOW!"""
30,2,"""What's holding you back from demanding #UniversalHealthcare? You're already paying for it through premiums, deductibles, AND crippling medical debt. Let's stop throwing money at our exploiters and get REAL healthcare for REAL people"""
30,3,"""WE CAN'T KEEP BUYING INTO A SYSTEM THAT PRIORITIZES PROFITS OVER HUMAN LIVES . People before profits, that's the #UniversalHealthcare motto  Think of all the money we Waste on Lobbying, Advertising, & Executive Salaries . How can you argue this is anything less than a human right when We'll give millions to Israel for EVERY missile but our OWN seniors struggle to fill scrips ? . How many 'choices' do you have left when Cancer eats away at your savings? IT'S TIME FOR REAL CHOICES !!"""
30,4,"""We can't let personal finance, propaganda, or 'but think of the bill' dictate whether or not an INNOCENT human life gets the care they need. We're not in a Dickens novel. IT'S TIME TO MAKE THE POLICEMAN'S RULING UNDISPUTABLE: YOU WILL SUPPORT OTHER HUMAN BEINGS' RIGHT TO EXIST."""
30,5,"""Listen up, lawmakers... enough threats. enough games. How do you justify 'delaying universal healthcare' or saying our current system simply needs a tweak? You can keep denying, but EVERY TIME SOMEONE GETS DENIED CARE due to bureaucratic back-and-forth, you're killing us . Who are YOU working for?! THE PEOPLE, DEMAND CHANGE"""
31,0,"MY. GOSH. Universal healthcare is LONG overdue in our country! Every human being DESERVES quality medical care, regardless of income or social status. It's basic human rights – let's get this done, ASAP!"
31,1,"I'm just reading through some comments from neighbors and I'm HEARTENED to see so much support for universal healthcare! Karen from down the street writes, ""Amen to that! I've seen first-hand how ridiculous healthcare costs are"" and Sarah from across the way adds, ""And let's not forget about all the lives that could be saved if we had more access to quality care. It's heartbreaking.""

Some of you are worried about the logistics, but trust me – other countries have been doing it just fine for YEARS. Let's look to them for inspiration!

And Bob from next door chimes in, ""But wouldn"
31,2,"I'M SO EXCITED TO SEE THIS MOVEMENT GAINING MOMENTUM! Just want to add that many of these countries with universal healthcare systems aren't just handing out free care willy-nilly. There are fees and caps in place, it just means people don't have to choose between paying medical bills or paying rent! Can we PLEASE be a country that puts PEOPLE OVER PROFITS?!"
31,3,"WE'RE GETTING CLOSE TO A TURNING POINT HERE, FOLKS! Every day, more and more people are making their voices heard and demanding change. We need to keep pushing this conversation forward until we have a healthcare system that values humanity over profits. Can you imagine a world where every person has access to quality care, regardless of income or social standing? It's time to make that vision a reality!"
31,4,"""IT'S TIME TO ASK SOME HARD QUESTIONS... What do we want our society to value? Profits over people? Lives over livelihoods? Or do we want to be a country that puts its own citizens first? The choice is clear – let's invest in a healthcare system that treats people like people, not a commodity to be exploited for profit!"""
31,5,"""WE'RE NOT JUST FIGHTING FOR A HEALTHIER AMERICA - WE'RE FIGHTING FOR A BRIGHTER FUTURE! Every human being deserves access to quality care, regardless of their income or social status. It's not radical, it's not socialist, it's just basic human rights! Let's keep rising up, demanding change, and fighting for a healthcare system that values humanity above profits! #UniversalHealthcareForAll #PeopleOverProfits"""
32,0,"""Universal healthcare isn't just a right, it's an absolute necessity. Time to take it from the corporate thieves lining their pockets off our suffering #HealthcareIsAMiracleNotaprofit"""
32,1,"""Just got some responses from my neighbors - guess some people still think we can't afford universal healthcare. Steve Jenkins says ""But how are you gonna pay for it? Taxes will rise!"" Um, Steve, have you seen the outrageous prices of healthcare in the US lately? At least with universal healthcare, we'd actually have a system in place that prioritizes our health over profit. And as for Mary Taylor, her comments about ""what if people abuse the system?"" makes me wonder, hasn't anyone heard of a little thing called ""healthcare reform""? It's not like we're throwing out the current system without regulation! We need a"
32,2,"""the woke call to universal healthcare is great and all, but where is the plan to make it happen? We need specifics, not just empty slogans. Who is going to foot the bill? Will it be through a pay-as-you-go system, or a wealth tax on the ultra-rich? Until we can answer these questions, we're still spinning wheels in the status quo. Don't get me wrong, universal healthcare is a necessity - but let's not be naive about the complexity of this issue. We need realism, not idealism."""
32,3,"""Just got blocked by the pay-to-play establishment for daring to call out the hypocrisy of corporate healthcare profiteers But don't worry, I'm not here to sugarcoat the truth: our politicians are bought and sold with pharmaceutical and insurance industry cash, and ordinary people are the ones paying the price Time to take it to the streets, mobilize the people, and create real change Not with 'both sides' narratives, but with radical actions that expose the power of the oligarchy #HealthcareRevolution #PeoplesPower"""
32,4,"""universal healthcare isn't some fancy progressive pipe dream, it's a moral imperative. Every single human being deserves access to quality care, regardless of zip code or bank account. It's time to organize, resist, and fight for a healthcare system that prioritizes our needs over corporate greed. The revolution will not be televised, but it will be healthcare reform, and you better believe we're on the cusp of something incredible #HealthcareRevolutionNow"""
32,5,"""We need to shift from treating healthcare as a market-driven commodity to seeing it as a unified, equitable system with a public-good mentality. Every developed country knows this - even Australia and the UK had to fight against their own neoliberal forces to build the kind of healthcare systems that benefit everyone, not just the profiteers. Remember that our healthcare costs are directly tied to profit-driven price-gouging, medical tourism, and excessive administrative drag. It's not about 'how do we fix it?' but 'how do we dismantle a status quo that profits off people's vulnerabilities?' #HealthcareNotCommodities"""
33,0,"""Broken healthcare system killing people & crushing families. It's time to admit the cold truth: those in power profit from our pain & suffering. Investing in universal healthcare isn't just a moral imperative - it's a matter of basic human decency"""
33,1,"""I see the outrage from some of you suggesting that universal healthcare is 'just a handout' or that it'll lead to decreased 'provider choice.' Guess what? The US already has provider choice - and it's nothing but a cruel joke for those stuck in the trenches of medical debt. ""Why are there still people struggling with health costs when pharma rakes in billions every year?"""
33,2,"""Fiscally responsible folks always say, 'Universal healthcare will break the bank.' Meanwhile, billions of dollars slip through loopholes - literally hemorrhaging into pockets of corporate fat cats. We prioritize 'balancing the books' over saving lives & protecting families. Where's the fiscal responsibility in that?"""
